"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Joel Embiid","Phi","C","29.9","34","34","39","14.3","403","0.883","642","0.562","112","0.366","0.56","0.645","35.3","11.3","5.7","1.1","1.8","3.7","46.6","41","52.3","15.5","126.1","104.7"
"","Luka Doncic","Dal","G","24.9","40","37.5","36.4","14.1","378","0.78","547","0.574","413","0.375","0.569","0.616","34.7","8.6","9.6","1.4","0.6","3.9","43.3","44.3","52.9","15.1","122.4","113.7"
"","Shai Gilgeous-Alexander","Okc","G","25.6","47","34.4","33.2","9.8","435","0.892","782","0.586","161","0.348","0.575","0.649","31.3","5.6","6.4","2.2","0.8","2.2","37","37.7","43.3","12.1","131.5","107.6"
"","Giannis Antetokounmpo","Mil","F","29.2","46","35.2","33.1","16","516","0.661","794","0.642","79","0.253","0.619","0.646","30.9","11.6","6.1","1.4","1.1","3.6","42.5","37","48.6","14.7","124.7","107.5"
"","Kevin Durant","Pho","F","35.3","41","37.3","29.2","14.1","274","0.876","575","0.563","205","0.449","0.592","0.646","28.4","6.4","5.8","0.8","1.3","3.1","34.8","34.1","40.5","10.9","123.5","113.9"
"","Devin Booker","Pho","G","27.3","39","36.2","30.7","12.1","270","0.878","541","0.551","232","0.388","0.56","0.618","28.3","4.9","7.3","0.9","0.4","2.7","33.2","35.6","40.5","11.1","125","111.4"
"","Donovan Mitchell","Cle","G","27.4","36","35.6","32.4","11.7","221","0.864","434","0.553","330","0.348","0.54","0.59","28.2","5.5","6.4","1.9","0.5","2.8","33.7","34.6","40.1","11.2","119.3","107.7"
"","Stephen Curry","Gol","G","35.9","41","33.5","31.2","13.6","226","0.929","319","0.524","477","0.409","0.577","0.63","27.5","4.3","5","0.8","0.4","3","31.8","32.5","36.8","10","121.2","116.6"
"","De'Aaron Fox","Sac","G","26.1","40","35.6","31.2","10.7","272","0.724","509","0.521","316","0.38","0.539","0.575","27.2","4.1","5.5","1.6","0.4","2.5","31.3","32.7","36.8","9.5","115.5","112.7"
"","Trae Young","Atl","G","25.4","42","36.3","31.1","17.8","343","0.863","457","0.468","372","0.368","0.506","0.579","27","2.9","10.9","1.4","0.2","4.3","29.9","37.9","40.8","10.5","118.7","119.7"
"","Jayson Tatum","Bos","F","25.9","45","35.8","30","11.9","320","0.813","495","0.556","369","0.363","0.551","0.603","26.9","8.4","4.5","1","0.6","2.6","35.4","31.4","39.8","11.2","119.5","107.2"
"","Jalen Brunson","Nyk","G","27.4","46","35.7","29.4","10.4","280","0.836","603","0.509","303","0.422","0.551","0.599","26.8","3.8","6.5","0.9","0.2","2.3","30.6","33.3","37.2","9.8","125.3","111.1"
"","Nikola Jokic","Den","C","28.9","47","33.7","29.7","14.4","275","0.815","685","0.631","137","0.358","0.615","0.655","26.3","12.1","9","1.2","0.9","2.9","38.4","35.3","47.4","16.9","132.3","105.8"
"","Tyrese Maxey","Phi","G","23.2","42","37.5","27.1","7.4","242","0.864","480","0.502","346","0.373","0.526","0.578","25.7","3.6","6.6","1","0.5","1.6","29.3","32.2","35.8","9","123.8","113.6"
"","Anthony Edwards","Min","G","22.5","45","34.9","31.8","15.2","292","0.842","568","0.502","285","0.389","0.529","0.585","25.5","5.2","5.2","1.2","0.5","3.4","30.7","30.8","36","10.1","112","107"
"","Kyrie Irving","Dal","G","31.9","27","33.3","29.6","7.7","114","0.895","340","0.506","190","0.411","0.545","0.586","25.2","5.1","5.3","1.3","0.4","1.6","30.3","30.5","35.6","10.6","121","115.3"
"","Damian Lillard","Mil","G","33.5","45","35.3","28.2","12.3","358","0.925","402","0.498","388","0.343","0.506","0.596","25.1","4.3","6.8","1.1","0.2","2.5","29.4","31.9","36.2","10.2","122.8","116.3"
"","Ja Morant","Mem","G","24.5","9","35.3","30.5","13.7","64","0.813","119","0.555","51","0.275","0.512","0.57","25.1","5.6","8.1","0.8","0.6","3","30.7","33.2","38.8","11.8","115.8","111.8"
"","LeBron James","Lal","F","39.1","44","34.7","29.3","15.5","248","0.726","549","0.574","239","0.397","0.581","0.61","24.9","7.5","7.7","1.3","0.6","3.3","32.3","32.6","40","13","116.6","113.1"
"","Anthony Davis","Lal","C","30.9","46","35.9","26.7","11","318","0.805","735","0.571","54","0.315","0.565","0.617","24.9","12.1","3.7","1.2","2.3","2.1","37","28.6","40.7","11.6","123.2","108"
"","Desmond Bane","Mem","G","25.6","37","34.5","28.8","12.4","140","0.864","376","0.551","320","0.384","0.563","0.597","24.4","4.6","5.3","1","0.5","2.7","29","29.7","34.3","9.8","114.9","109.7"
"","Julius Randle","Nyk","F","29.2","46","35.4","29.5","16","302","0.781","592","0.539","244","0.311","0.518","0.569","24","9.2","5","0.5","0.3","3.5","33.2","28.9","38.1","11.7","113.5","106.5"
"","Kawhi Leonard","Lac","F","32.6","42","34.4","26","8.3","172","0.884","510","0.563","212","0.439","0.591","0.63","23.9","6.3","3.7","1.7","0.9","1.5","30.2","27.6","34","9.6","127.4","111.9"
"","LaMelo Ball","Cha","G","22.4","22","32.3","33.6","16.4","104","0.865","226","0.5","197","0.355","0.515","0.561","23.9","5.1","8","1.8","0.2","3.8","29","31.9","37","12.3","111.1","112.1"
"","Lauri Markkanen","Uta","F","26.7","39","32.5","25","7.1","203","0.877","312","0.587","313","0.396","0.59","0.641","23.5","8.7","1.9","0.9","0.5","1.2","32.2","25.4","34.1","9","130.6","114.6"
"","Tyrese Haliburton","Ind","G","23.9","35","33.1","26.3","12.6","140","0.864","299","0.582","290","0.397","0.588","0.626","23.3","4.1","12.5","1.1","0.6","2.4","27.4","35.8","39.9","12.8","133.5","122.2"
"","Terry Rozier","Cha","G","29.9","30","35.5","27.3","10.6","129","0.845","317","0.533","232","0.358","0.535","0.574","23.2","3.9","6.6","1.1","0.4","2.2","27.1","29.8","33.7","9.5","117.4","121.6"
"","Paul George","Lac","G","33.8","43","34.1","27","10.7","165","0.909","388","0.51","359","0.412","0.562","0.604","23","5.5","3.5","1.6","0.4","2.1","28.5","26.5","32","8.9","118.5","107.7"
"","Paolo Banchero","Orl","F","21.2","48","34.9","30","14.6","358","0.696","664","0.482","201","0.358","0.495","0.54","23","7","5","1","0.6","3.1","30","28","35","10.7","107.8","108.6"
"","Anfernee Simons","Por","G","24.7","26","33.6","28.3","12.1","104","0.904","247","0.486","225","0.387","0.531","0.575","22.9","3.5","5.2","0.4","0.2","2.5","26.3","28.1","31.5","8.9","114.8","117.2"
"","Karl-Anthony Towns","Min","F","28.2","47","33.2","27.3","15.5","226","0.872","499","0.561","235","0.443","0.594","0.641","22.7","8.7","3.1","0.7","0.6","2.9","31.5","25.9","34.6","10.2","117.7","100.2"
"","Cade Cunningham","Det","G","22.4","38","34.4","30.2","16.6","170","0.859","510","0.492","207","0.343","0.499","0.544","22.7","4","7.4","1","0.4","3.8","26.7","30","34","10.2","106.7","116.9"
"","Jaylen Brown","Bos","F","27.3","45","33.3","28.3","11.8","198","0.727","528","0.564","264","0.352","0.552","0.58","22.6","5.4","3.7","1.1","0.6","2.4","28","26.3","31.7","9.2","113.8","107.2"
"","Pascal Siakam","Tor","F","29.8","39","34.7","25.4","11.8","223","0.758","478","0.584","145","0.317","0.559","0.6","22.2","6.3","4.8","0.8","0.3","2.1","28.5","27","33.3","10.1","119.4","114"
"","DeMar DeRozan","Chi","F","34.5","47","37.3","24.6","8.5","317","0.842","639","0.495","134","0.336","0.496","0.567","22","4","5.3","1.1","0.7","1.5","26","27.3","31.4","8.3","120.5","114.6"
"","Kyle Kuzma","Was","F","28.5","47","31.4","30.8","12.4","149","0.799","569","0.527","317","0.331","0.516","0.543","22","6.5","4.3","0.4","0.7","2.7","28.5","26.3","32.9","10.8","104.2","117.8"
"","Zion Williamson","Nor","F","23.6","38","30.3","28.8","14.9","252","0.667","552","0.594","11","0.364","0.593","0.62","22","5.5","4.7","1","0.4","2.6","27.5","26.7","32.1","10.9","119.7","109.2"
"","Mikal Bridges","Bro","F","27.4","47","35.2","25.9","12","234","0.825","484","0.51","309","0.369","0.527","0.574","21.9","5","3.7","0.9","0.4","2.3","26.9","25.6","30.6","8.4","113.5","116.6"
"","Jaren Jackson Jr.","Mem","F","24.4","45","31.7","29.4","11.4","283","0.834","513","0.509","241","0.315","0.497","0.561","21.9","5.6","2","1","1.6","2.2","27.5","23.9","29.5","7.9","108.8","105.3"
"","Alperen Sengun","Hou","C","21.5","47","32.7","27.6","14.2","254","0.72","656","0.578","93","0.28","0.558","0.592","21.7","9.3","5.1","1.2","0.7","2.6","30.9","26.8","36","12.4","118.2","103.6"
"","Pascal Siakam","Ind","F","29.8","7","32.4","23.9","8.5","30","0.7","94","0.596","14","0.429","0.602","0.623","21.6","7.4","5.1","0.7","0","1.4","29","26.7","34.1","11.5","128.8","113.7"
"","Brandon Ingram","Nor","F","26.4","44","33.1","27.4","13.2","227","0.802","552","0.531","169","0.349","0.529","0.576","21.5","5","5.6","0.8","0.5","2.5","26.5","27.1","32.1","10.2","115.4","111"
"","Dejounte Murray","Atl","G","27.4","46","34.8","24.9","11.4","143","0.832","526","0.519","282","0.383","0.538","0.568","21.5","5","5.2","1.3","0.3","2.3","26.5","26.7","31.7","9.5","115.7","118.8"
"","Jimmy Butler","Mia","F","34.4","33","33.7","24.5","11","264","0.879","375","0.509","71","0.437","0.533","0.629","21.4","5.2","4.4","1.2","0.3","1.7","26.6","25.8","31","9.4","129.8","114.9"
"","Jerami Grant","Por","F","29.9","43","33.6","25.6","11","246","0.809","458","0.489","221","0.403","0.527","0.581","21.3","3.7","2.6","0.7","0.7","2","24.9","23.8","27.5","7","114.6","116.3"
"","Jamal Murray","Den","G","26.9","35","31.8","27.4","10.3","121","0.86","383","0.512","198","0.414","0.549","0.585","21.2","3.8","6.4","0.8","0.7","1.9","25","27.6","31.4","10.1","120.5","113.1"
